id,Slug,Name,Pop2022,bonjout_salut,merci
903,huron-wendat,Wendake-Nionwentsïo,4771,Kwe ! Ndio !,Tiawenhk
824,cree-nehiyawak-of-eeyou-istchee,Eeyou Istchee,20902,waachiyaah,miikwech
145,mohawk,Kanienʼkehá꞉ka (Mohawk),20457,Kwe kwe / Shé:kon,Niáwen
675,wabanaki-confederacy,Wabanaki (Dawnland Confederacy),3565,Kwaï,Wlini
458,atikamekw,Nitaskinan (Atikamekw / Nehirowisi Aski),8302,Kwei,Mikwetc
451,anishinabek,Anishinabewaki ᐊᓂᔑᓈᐯᐗᑭ,13704,Kwe,Migwetc
444,inuit,Inuit Nunangat ᐃᓄᐃᑦ ᓄᓇᖓᑦ,13889,Ai,Nakurmiik
855,nitassinan-innu,Nitassinan (Innu),24351,Kuei,Tshinashkumitin
489,naskapi,ᒋᑦ ᐊᔅᒋᓄᐤ St’aschinuw (Naskapi),1592,Waachiyaa,Chiniskumitin
607,mikmaq,Mi’kma’ki,7599,Kwe / Gwe,Wela’lin
809,wolastoqiyik,Wolastoqiyik (Maliseet),1733,Qey !,Woliwon
